Antigen,Antigen,Antigen,Antigen,Antigen
"Possible enoyl-CoA hydratase EchA19 (Enoyl hydrase) (Unsaturated acyl-CoA hydratase) (Crotonase)","Mycobacterium tuberculosis","4","4","1"
"Antitoxin VapB26","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein (UniProt:P71780)","Mycobacterium tuberculosis","2","2","1"
"Phosphoglycerate kinase","Mycobacterium tuberculosis","6","6","1"
"Nuclear receptor-binding protein (UniProt:F8W6G1)","Homo sapiens (human)","4","6","4"
"Nuclear receptor-binding protein 2","Homo sapiens (human)","7","24","9"
"Histone-lysine N-methyltransferase EHMT1 (UniProt:A0A1B0GV09)","Homo sapiens (human)","22","35","11"
"Hypothetical short protein","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein Rv2087","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein (UniProt:P95266)","Mycobacterium tuberculosis","2","2","1"
"Hypothetical arginine rich protein","Mycobacterium tuberculosis","2","2","1"
"8-oxo-(d)GTP phosphatase","Mycobacterium tuberculosis","5","5","1"
"Zinc finger E-box-binding homeobox 2 (UniProt:A0A1B0GVV8)","Homo sapiens (human)","11","18","9"
"Zinc finger E-box-binding homeobox 2 (UniProt:A0A1B0GV02)","Homo sapiens (human)","10","10","1"
"Zinc finger E-box-binding homeobox 2 (UniProt:O60315)","Homo sapiens (human)","42","184","17"
"Zinc finger E-box-binding homeobox 1","Homo sapiens (human)","24","137","25"
"39S ribosomal protein L2, mitochondrial (UniProt:Q5T653)","Homo sapiens (human)","25","99","33"
"Protein lyl-1","Homo sapiens (human)","21","120","32"
"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 (UniProt:Q96P48)","Homo sapiens (human)","73","268","50"
"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 (UniProt:A0A0A0MSJ2)","Homo sapiens (human)","11","11","1"
"Fidgetin-like protein 1","Homo sapiens (human)","35","148","41"
"Probable ATP-dependent RNA helicase DHX35 (UniProt:Q9H5Z1)","Homo sapiens (human)","36","98","39"
"Probable ATP-dependent RNA helicase DHX35 (Fragment)","Homo sapiens (human)","2","2","1"
"Toxin ParE1","Mycobacterium tuberculosis","2","2","1"
"Kinase suppressor of Ras 1 (UniProt:A0A0A0MQW1)","Homo sapiens (human)","1","1","1"
"Kinase suppressor of Ras 1 (UniProt:A0A2R8Y5H9)","Homo sapiens (human)","2","2","1"
"Kinase suppressor of Ras 1 (UniProt:Q8IVT5)","Homo sapiens (human)","19","51","23"
"Uncharacterized protein (UniProt:E9PCH4)","Homo sapiens (human)","6","6","2"
"Rap guanine nucleotide exchange factor 6","Homo sapiens (human)","73","287","43"
"Palmitoyltransferase ZDHHC4","Homo sapiens (human)","10","124","16"
"Possible anti-anti-sigma factor","Mycobacterium tuberculosis","2","2","1"
"F-box/WD repeat-containing protein 11 (Fragment) (UniProt:E5RH92)","Homo sapiens (human)","4","4","1"
"Securin","Homo sapiens (human)","29","125","39"
"Securin-2","Homo sapiens (human)","5","7","5"
"Putative pituitary tumor-transforming gene 3 protein","Homo sapiens (human)","7","14","9"
"60S ribosomal protein L21 (UniProt:P46778)","Homo sapiens (human)","179","513","43"
"60S ribosomal protein L21 (Fragment)","Homo sapiens (human)","21","30","16"
"Probable respiratory nitrate reductase (Gamma chain) NarI","Mycobacterium tuberculosis","5","5","1"
"Menin (UniProt:E7EN32)","Homo sapiens (human)","3","3","2"
"Proteasome subunit beta (Fragment)","Homo sapiens (human)","2","2","2"
"Proteasome subunit beta type-7","Homo sapiens (human)","66","283","54"
"Possible transposase (UniProt:O50414)","Mycobacterium tuberculosis","3","3","1"
"Probable conserved integral membrane protein (UniProt:O53173)","Mycobacterium tuberculosis","2","2","1"
"Antitoxin VapB11","Mycobacterium tuberculosis","3","3","1"
"Profilin-3","Homo sapiens (human)","6","96","14"
"Probable conserved membrane protein (UniProt:O53572)","Mycobacterium tuberculosis","4","4","1"
"P2Y purinoceptor 8","Homo sapiens (human)","35","172","30"
"Ubiquinol-cytochrome-c reductase complex assembly factor 1 (UniProt:Q9NVA1)","Homo sapiens (human)","3","14","7"
"Ubiquinol-cytochrome-c reductase complex assembly factor 1 (UniProt:F6UTR7)","Homo sapiens (human)","2","6","6"
"Ubiquinol-cytochrome-c reductase complex assembly factor 1 (Fragment)","Homo sapiens (human)","1","1","1"
"Condensin-2 complex subunit H2 (UniProt:Q6IBW4)","Homo sapiens (human)","40","188","39"
"Probable quinone reductase Qor (NADPH:quinone reductase) (Zeta-crystallin homolog protein)","Mycobacterium tuberculosis","1","1","1"
"Uncharacterized protein Rv1303","Mycobacterium tuberculosis","2","2","1"
"Conserved 13E12 repeat family protein (UniProt:O33360)","Mycobacterium tuberculosis","2","3","1"
"Mini-chromosome maintenance complex-binding protein","Homo sapiens (human)","84","373","53"
"Antizyme inhibitor 1","Homo sapiens (human)","59","325","54"
"Uncharacterized protein (UniProt:O53222)","Mycobacterium tuberculosis","2","2","1"
"Conserved protein (UniProt:O53356)","Mycobacterium tuberculosis","2","2","1"
"Sec-independent protein translocase protein TatB","Mycobacterium tuberculosis","3","3","1"
"Uncharacterized protein Rv2286c","Mycobacterium tuberculosis","3","3","1"
"Antitoxin HigA1","Mycobacterium tuberculosis","3","3","1"
"4'-phosphopantetheine phosphatase (UniProt:Q9NVE7)","Homo sapiens (human)","43","113","27"
"4'-phosphopantetheine phosphatase (UniProt:A0A494C169)","Homo sapiens (human)","8","10","7"
"Alpha-actinin-4 (Fragment) (UniProt:K7EP19)","Homo sapiens (human)","1","1","1"
"GMP reductase 1","Homo sapiens (human)","14","121","19"
"MDMPI_N domain-containing protein (UniProt:P71985)","Mycobacterium tuberculosis","4","4","1"
"Ribonuclease VapC48","Mycobacterium tuberculosis","2","2","1"
"Tight junction protein ZO-2 (UniProt:A0A3B3ISF1)","Homo sapiens (human)","10","19","3"
"Mitochondrial-processing peptidase subunit alpha","Homo sapiens (human)","82","237","49"
"Tetratricopeptide repeat protein 22","Homo sapiens (human)","10","109","18"
"Carbohydrate sulfotransferase 10","Homo sapiens (human)","26","71","34"
"Mediator of RNA polymerase II transcription subunit 1","Homo sapiens (human)","59","154","49"
"Keratinocyte-associated transmembrane protein 2","Homo sapiens (human)","33","83","30"
"Probable RNA-binding protein EIF1AD","Homo sapiens (human)","19","38","19"
"Serine/threonine-protein kinase Nek9","Homo sapiens (human)","91","334","54"
"Uncharacterized protein Rv1322","Mycobacterium tuberculosis","2","2","1"
"Hematopoietic lineage cell-specific protein (UniProt:E7EVW7)","Homo sapiens (human)","14","19","10"
"Rhodocoxin reductase","Brucella melitensis","3","6","1"
"Uncharacterized protein (UniProt:O05597)","Mycobacterium tuberculosis","1","1","1"
"Protein PML (UniProt:H3BT57)","Homo sapiens (human)","10","10","1"
"Protein PML (UniProt:P29590)","Homo sapiens (human)","64","267","41"
"Oligosaccharyltransferase complex subunit OSTC","Homo sapiens (human)","24","43","22"
"Fanconi anemia group F protein","Homo sapiens (human)","17","29","17"
"Uncharacterized protein (UniProt:O07207)","Mycobacterium tuberculosis","2","2","1"
"Zinc finger SWIM domain-containing protein 4 (Fragment)","Homo sapiens (human)","9","14","6"
"30S ribosomal protein S15","Mycobacterium tuberculosis","2","2","1"
"MYC associated factor X","Canis lupus (wolf or dog)","1","1","1"
"Toxin ParE2","Mycobacterium tuberculosis","2","2","1"
"E3 ubiquitin-protein ligase TRIP12 (Fragment)","Homo sapiens (human)","2","2","1"
"Unconventional myosin-VI (UniProt:E7EW20)","Homo sapiens (human)","10","10","3"
"Probable phospholipid-transporting ATPase IF (Fragment) (UniProt:H0Y8C7)","Homo sapiens (human)","1","2","2"
"Probable phospholipid-transporting ATPase IF (Fragment) (UniProt:H7C575)","Homo sapiens (human)","2","2","1"
"Zinc finger protein ZFAT (UniProt:Q9P243)","Homo sapiens (human)","33","82","23"
"Pyrrolidone-carboxylate peptidase","Mycobacterium tuberculosis","3","3","1"
"Intraflagellar transport protein 43 homolog","Homo sapiens (human)","11","52","24"
"Putative thiosulfate sulfurtransferase SseB","Mycobacterium tuberculosis","4","4","1"
"30S ribosomal protein S14","Mycobacterium tuberculosis","4","4","1"
"Interferon-induced helicase C domain-containing protein 1 (UniProt:Q9BYX4)","Homo sapiens (human)","109","459","60"
"Transcriptional regulator WhiB2","Mycobacterium tuberculosis","2","2","1"
"FAST kinase domain-containing protein 4","Homo sapiens (human)","35","136","44"
"Ornithine decarboxylase antizyme 1 (UniProt:P54368)","Homo sapiens (human)","35","135","33"
"Ornithine decarboxylase antizyme 1 (UniProt:J3QQY4)","Homo sapiens (human)","5","28","16"
"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 (UniProt:B4DGM3)","Homo sapiens (human)","17","36","15"
"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 (UniProt:Q969G3)","Homo sapiens (human)","29","90","27"
"BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like","Homo sapiens (human)","32","140","16"
"BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like (Fragment)","Homo sapiens (human)","53","74","10"
"Intercellular adhesion molecule 1 (UniProt:P05362)","Homo sapiens (human)","256","618","44"
"Possible conserved transmembrane protein (UniProt:I6YG51)","Mycobacterium tuberculosis","1","2","1"
"MyoD family inhibitor domain-containing protein (UniProt:Q9P1T7)","Homo sapiens (human)","31","203","13"
"MyoD family inhibitor domain-containing protein (UniProt:J3KN13)","Homo sapiens (human)","16","25","9"
"Probable ATP/GTP-binding protein","Mycobacterium tuberculosis","4","4","2"
"50S ribosomal protein L18","Mycobacterium tuberculosis","3","3","1"
"Peptidyl-prolyl cis-trans isomerase A","Mycobacterium tuberculosis","3","3","1"
"Host cell factor 1 (UniProt:P51610)","Homo sapiens (human)","128","390","49"
"Host cell factor 1 (UniProt:A6NEM2)","Homo sapiens (human)","10","10","2"
"Alpha-1-syntrophin","Homo sapiens (human)","15","70","21"
"Protein lin-7 homolog C","Homo sapiens (human)","19","92","28"
"La-related protein 1 (Fragment) (UniProt:A0A0B4J210)","Homo sapiens (human)","73","142","42"
"Possible histone-like protein Hns","Mycobacterium tuberculosis","3","3","2"
"Genetic suppressor element 1 (Fragment) (UniProt:A0A1B0GUX8)","Homo sapiens (human)","1","1","1"
"Zinc finger X-chromosomal protein (UniProt:P17010)","Homo sapiens (human)","43","104","31"
"Calcineurin-binding protein cabin-1 (UniProt:Q9Y6J0)","Homo sapiens (human)","106","345","44"
"Integrin-linked protein kinase (UniProt:A0A0A0MTH3)","Homo sapiens (human)","12","13","3"
"Integrin-linked protein kinase (UniProt:Q13418)","Homo sapiens (human)","83","452","52"
"Protein POLR1D, isoform 2 (UniProt:A0A0R4J2F3)","Homo sapiens (human)","5","16","11"
"DNA-directed RNA polymerases I and III subunit RPAC2","Homo sapiens (human)","15","42","9"
"Sorting nexin-11 (Fragment)","Homo sapiens (human)","11","19","12"
"Sorting nexin-11 (UniProt:Q9Y5W9)","Homo sapiens (human)","31","135","23"
"Serine/threonine-protein kinase WNK2 (Fragment) (UniProt:H0Y7T5)","Homo sapiens (human)","15","27","8"
"Serine/threonine-protein kinase WNK3","Homo sapiens (human)","18","56","11"
"Serine/threonine-protein kinase WNK2 (UniProt:Q9Y3S1)","Homo sapiens (human)","28","39","10"
"Serine/threonine-protein kinase WNK2 (UniProt:F8W9F9)","Homo sapiens (human)","5","5","3"
"Methylmalonic aciduria and homocystinuria type C protein","Homo sapiens (human)","4","6","5"
"Cyanocobalamin reductase / alkylcobalamin dealkylase","Homo sapiens (human)","15","25","10"
"Haloalkane dehalogenase 1","Mycobacterium tuberculosis","5","5","1"
"T-complex protein 1 subunit epsilon (UniProt:E9PCA1)","Homo sapiens (human)","6","6","1"
"Uncharacterized protein (UniProt:O07719)","Mycobacterium tuberculosis","2","2","1"
"Antitoxin VapB20","Mycobacterium tuberculosis","2","2","1"
"SERTA domain-containing protein 3","Homo sapiens (human)","13","57","17"
"Tectonic-3","Homo sapiens (human)","32","93","28"
"Homeobox protein Hox-C4","Homo sapiens (human)","6","32","21"
"Homeobox protein Hox-B4","Homo sapiens (human)","8","39","14"
"Ankyrin repeat family A protein 2","Homo sapiens (human)","9","53","25"
"Antitoxin VapB27","Mycobacterium tuberculosis","2","2","1"
"Zinc finger protein 410 (UniProt:Q86VK4)","Homo sapiens (human)","17","46","17"
"Zinc finger protein 410 (UniProt:G3V4H7)","Homo sapiens (human)","9","12","7"
"ADP-ribose pyrophosphatase","Mycobacterium tuberculosis","3","3","1"
"E1A-binding protein p400","Homo sapiens (human)","174","391","57"
"Conserved integral membrane protein YrbE1A","Mycobacterium tuberculosis","4","4","1"
"Torsin-4A","Homo sapiens (human)","42","66","21"
"CD70 antigen","Homo sapiens (human)","94","223","38"
"Probable cellulase CelA2a (Endo-1,4-beta-glucanase) (Endoglucanase) (Carboxymethyl cellulase)","Mycobacterium tuberculosis","2","2","1"
"Uncharacterized protein Rv1332","Mycobacterium tuberculosis","3","3","1"
"Possible transposase (UniProt:P96234)","Mycobacterium tuberculosis","2","4","1"
"HTH-type transcriptional regulator Rv1931c","Mycobacterium tuberculosis","4","4","1"
"CDK5 regulatory subunit-associated protein 3","Homo sapiens (human)","55","218","52"
"Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (UniProt:P49354)","Homo sapiens (human)","31","148","36"
"Probable integrase (UniProt:O53402)","Mycobacterium tuberculosis","3","3","1"
"Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (UniProt:A0A2R8YCS7)","Homo sapiens (human)","27","50","14"
"Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (UniProt:Q9Y3Z3)","Homo sapiens (human)","116","384","24"
"SAM and SH3 domain-containing protein 3","Homo sapiens (human)","48","171","35"
"Putative antitoxin VapB17","Mycobacterium tuberculosis","2","2","1"
"Mitotic spindle assembly checkpoint protein MAD2A","Homo sapiens (human)","35","137","44"
"Integrin beta (Fragment) (UniProt:E7EVZ9)","Homo sapiens (human)","2","2","2"
"Rho family-interacting cell polarization regulator 2 (UniProt:F5H029)","Homo sapiens (human)","2","4","2"
"Rho family-interacting cell polarization regulator 2 (UniProt:F5GX51)","Homo sapiens (human)","28","37","10"
"Nitrogen regulatory protein P-II","Mycobacterium tuberculosis","2","2","1"
"Putative antitoxin VapB18","Mycobacterium tuberculosis","2","2","1"
"Metal transporter CNNM4","Homo sapiens (human)","36","62","28"
"Solute carrier family 10 member 6","Homo sapiens (human)","3","9","7"
"PE-PGRS family protein PE_PGRS28","Mycobacterium tuberculosis","2","2","1"
"Tryptophan--tRNA ligase, cytoplasmic","Homo sapiens (human)","183","445","48"
"Constitutive coactivator of PPAR-gamma-like protein 1 (Fragment) (UniProt:A0A0C4DH52)","Homo sapiens (human)","8","8","3"
"Structural maintenance of chromosomes protein 1B","Homo sapiens (human)","13","14","11"
"Glycerophosphocholine phosphodiesterase GPCPD1","Homo sapiens (human)","37","119","34"
"Type I iodothyronine deiodinase","Homo sapiens (human)","2","3","3"
"Dynein light intermediate chain (UniProt:E9PHI6)","Homo sapiens (human)","16","22","11"
"Cytoplasmic dynein 1 light intermediate chain 1","Homo sapiens (human)","41","121","32"
"Mce-family protein Mce1B","Mycobacterium tuberculosis","8","11","5"
"Peptidyl-tRNA hydrolase","Mycobacterium tuberculosis","3","3","1"
"FERM domain-containing protein 8 (UniProt:Q8N4M4)","Homo sapiens (human)","1","1","1"
"Transmembrane anterior posterior transformation protein 1 homolog","Homo sapiens (human)","24","132","30"
"Probable hydrolase PNKD","Homo sapiens (human)","23","57","16"
"Protein FAM163A","Homo sapiens (human)","3","5","2"
"Protein FAM163B","Homo sapiens (human)","1","1","1"
"General transcription and DNA repair factor IIH helicase subunit XPD (UniProt:E7EVE9)","Homo sapiens (human)","7","8","4"
"General transcription and DNA repair factor IIH helicase subunit XPD (UniProt:P18074)","Homo sapiens (human)","52","145","35"
"General transcription and DNA repair factor IIH helicase subunit XPD (Fragment) (UniProt:A8MX75)","Homo sapiens (human)","31","58","13"
"WD repeat-containing protein 20 (UniProt:Q8TBZ3)","Homo sapiens (human)","16","42","19"
"WD repeat-containing protein 20 (UniProt:A0A088AWN2)","Homo sapiens (human)","5","9","6"
"Cadherin-18","Homo sapiens (human)","4","5","5"
"Probable transcriptional regulatory protein (UniProt:O53623)","Mycobacterium tuberculosis","3","3","1"
"Butyrophilin subfamily 3 member A1","Homo sapiens (human)","29","58","14"
"Butyrophilin subfamily 3 member A3","Homo sapiens (human)","62","175","33"
"Rab11 family-interacting protein 1 (UniProt:E7EX40)","Homo sapiens (human)","2","2","1"
"Ubiquitin carboxyl-terminal hydrolase 48 (UniProt:Q86UV5)","Homo sapiens (human)","104","428","55"
"ECF RNA polymerase sigma factor SigD","Mycobacterium tuberculosis","3","3","1"
"Trifunctional purine biosynthetic protein adenosine-3 (Fragment) (UniProt:A0A140TA71)","Homo sapiens (human)","4","4","2"
"Siderophore export accessory protein MmpS5","Mycobacterium tuberculosis","3","3","1"
"Peroxiredoxin-6","Homo sapiens (human)","116","317","37"
"Septin-9","Homo sapiens (human)","137","423","58"
"Pleckstrin homology domain-containing family M member 1","Homo sapiens (human)","32","83","31"
"Probable lipoprotein LppE","Mycobacterium tuberculosis","5","5","1"
"Thioredoxin (UniProt:L7N664)","Mycobacterium tuberculosis","1","1","1"
"LYR motif-containing protein 1","Homo sapiens (human)","10","73","35"
"SWI/SNF complex subunit SMARCC2 (UniProt:F8VXC8)","Homo sapiens (human)","21","28","14"
